"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","disagree","zipcode","per_care_1","per_care_2","per_care_3","per_care_4","per_care_wknd_1","per_care_wknd_2","per_care_wknd_3","per_care_wknd_4","pc_wknd_time_1","pc_wknd_time_2","pc_wknd_time_3","pc_wknd_time_4","per_care_covid_1","per_care_covid_2","per_care_covid_3","per_care_covid_4","st_act_1","st_act_2","st_act_3","st_act_wknd_1","st_act_wknd_2","st_act_wknd_3","sa_wknd_time_1","sa_wknd_time_2","sa_wknd_time_3","st_act_covid_1","st_act_covid_2","st_act_covid_3","own_device","dev_act_1","dev_act_7","dev_act_3","dev_act_6","dev_act_wknd_1","dev_act_wknd_2","dev_act_wknd_3","dev_act_wknd_4","da_wknd_time_1","da_wknd_time_2","da_wknd_time_3","da_wknd_time_6","dev_act_covid_1","dev_act_covid_2","dev_act_covid_3","dev_act_covid_4","dev_act_covid_5","dev_act_covid_6","dev_act_covid_7","other_act_1","other_act_2","other_act_3","other_act_4","other_act_wknd_1","other_act_wknd_2","other_act_wknd_3","other_act_wknd_4","oa_wknd_time_1","oa_wknd_time_2","oa_wknd_time_3","oa_wknd_time_4","other_act_covid_1","other_act_covid_2","other_act_covid_3","other_act_covid_4","pre_electric","post_electric","pre_gas","post_gas","num_vehicles","pre_trans","post_trans","health","mental_health_anxious","mental_health_worry","mental_health_interest","mental_health_down","physical_health","mental_health","pre_phy_health","pre_mental_health","days_poor_health","impairment","impairment_hsh","num_hsh_impair","major_impairment","other_major_imp","impairment_hsh_1","other_impairment_hsh","days_impairment_1","weeks_impairment_4","months_impairment_1","years_impairment_1","med_device_1","med_device_2","med_device_3","med_device_4","med_device_5","med_device_6","med_device_7","med_device_8","med_device_9","med_device_10","med_device_11","other_med_device","emp_status","emp_status_partner","work_home","work_home_partner","frontline","frontline_partner","hrs_work_3","hrs_work_4","hrs_work_partner_3","hrs_work_partner_4","min_commute_3","hrs_commute_3","min_commute_partner_3","hrs_commute_partnet_3","rsn_nowork","rsn_nowork_partner","eip_1","eip_2","eip_3","eip_4","eip_5","eip_6","eip_7","other_eip","year","gender","gender_7_TEXT","hispanic","race","education","marital","depen","num_hsh","num_children","num_retired","num_rooms","num_bedrooms","sq_ft","hardships_1","hardships_2","hardships_3","hardships_4","hardships_5","hardships_6","welfare_1","welfare_2","welfare_3","welfare_4","welfare_5","welfare_6","welfare_7","email","email_confirm","rewrite_email","duration","yrbr","age","zip","hisp","race2","race_eth","marital_st","educ","ageg","anxious","worry","interest","down","pre_c19_ph","pre_c19_mh","front","work_hrs","hsh_size","hsh_child","hsh_retire","rep_email"
"2021-02-22 13:21:40","2021-02-22 13:28:27","0","108.185.159.41","100","407","1","2021-02-22 13:28:28","R_vBpGFob58hKoyXv",NA,NA,NA,NA,"34.048492431640625","-118.252899169921875","anonymous","EN","1",NA,"1","7.8","1.9","0.7","0.8","4","5","5","4",NA,"7.4","1",NA,"3","4","4","2","3.9","2.3","2.3","3","3","3",NA,NA,NA,"3","2","3","2","2.1","1.6","2.5","1.8","3","3","2","3",NA,NA,"1.6",NA,"3","2","3","4","3","3","2","1.6","1.5","1.4","1.8","3","3","2","3","1.4","1.5","1.3","2","3","2","4","3","500","200","300","300","1","300","330","Very good","2","3","2","2","5","5","2","3","5","1","1","2","2",NA,"7",NA,"3","1","2","2","0","1","0","0","1","0","0","0","0","0","0",NA,"3","2","3","1","2","1","7","7","13","13","10","1","14","1","3","2","0","1","0","1","0","0","0",NA,"15","Male","-99","2","1","3","3","1","3","1","0","3","3","1","0","1","1","0","1","0","0","1","0","0","1","0","0","FreOrlandoderic@gmail.com","1",NA,6.8,1985,36,"Elm Creek","Hispanic","White","Hispanic","In a union","High School","30-39","Several days","More than half","Several days","Several days","Same","Better","No",7,3,1,0,"first_entry"
"2021-02-22 13:16:23","2021-02-22 13:30:34","0","98.224.88.35","100","850","1","2021-02-22 13:30:34","R_3DqdfHk8lAUOMzQ",NA,NA,NA,NA,"36.8271942138671875","-119.6804962158203125","anonymous","EN","1",NA,"1","9.4","2.8","4.1","0.9","4","5","4","4",NA,"2.8",NA,NA,"5","5","4","5","-99","1","-99",NA,"4",NA,NA,"1.4",NA,"3","2","4","3","4.3","1.5","2","1.7","3","2","3","3",NA,"4.1",NA,NA,"3","5","4","3","4","5","3","1.7","2.2","-99","-99","3","2",NA,NA,"-99","-99",NA,NA,"4","3","2","3","320","400","500","100","1","400","80","Very good","4","2","3","4","1","3","2","3","0","-99","1","0",NA,NA,"11",NA,"3","1","4","3","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99",NA,"1","1","3","1","2","2","7","32","8","-99","20","-99","15","-99",NA,NA,"1","0","0","0","0","0","0",NA,"13","Male","-99","2","1","4","2","1","1","1","0","5","3","3","0","0","0","1","0","0","0","0","0","1","1","1","0","ohebft@gmail.com","1",NA,14.2,1987,34,"Elm Creek","Hispanic","White","Hispanic","In a union","College","30-39","Nearly every day","Several days","More than half","Nearly every day","Same","Better","No",7,1,1,0,"first_entry"
"2021-02-22 13:29:54","2021-02-22 13:58:10","0","70.121.203.201","100","1695","1","2021-02-22 13:58:10","R_3J9JXryWQHDryDT",NA,NA,NA,NA,"29.5442962646484375","-98.549896240234375","anonymous","EN","1",NA,"1","8.3","1.5","2.1","1","5","5","5","4","9.7","2.1","3.2",NA,"4","2","2","2","6.1","2","1.7","4","4","3","8.8","0.7",NA,"5","4","1","1","1.3","1.4","0.3","0.8","2","3","3","3","2.8",NA,NA,NA,"5","5","5","5","5","5","5","0.6","1","0.8","-99","3","2","2",NA,"0.8","1.9","2",NA,"5","5","5","3","160","220","100","150","1","400","200","Fair","4","4","4","4","25","26","1","1","26","1","1","2","13",NA,"13",NA,"25","4","3","0","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99",NA,"4","2","3","1","2","2","40","33","42","5","31","1","10","1","3","-99","0","0","0","0","1","0","0",NA,"20","Male","-99","2","1","7","2","1","3","1","0","3","2","4","1","0","1","1","0","0","1","0","0","0","1","0","0","roweroyyyce@gmail.com","1",NA,28.2,1980,41,"Elm Creek","Hispanic","White","Hispanic","In a union","Graduate","40-49","Nearly every day","Nearly every day","Nearly every day","Nearly every day","Worse","Worse","No",40,3,1,0,"first_entry"
"2021-02-22 13:30:20","2021-02-22 14:31:12","0","139.28.216.183","100","3651","1","2021-02-22 14:31:13","R_2ysyzUDnMbz8rMa",NA,NA,NA,NA,"34.048492431640625","-118.252899169921875","anonymous","EN","1",NA,"1","8","1","2","1","4","4","4","4",NA,NA,NA,NA,"4","4","3","5","6","1.6","1.8","4","4","4","12.2","0.7","0.9","3","2","5","3","3","2","0.8","0.7","3","3","3","3",NA,NA,NA,NA,"1","2","3","4","3","5","4","0.3","0.1","0.1","0.4","3","3","3","3",NA,NA,NA,NA,"3","2","4","5","50","25","200","20","1","120","500","Very good","2","3","2","4","0","0","2","3","0","2","2","0",NA,NA,NA,NA,"-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99",NA,"1","1","4","2","1","1","31","7","19","8","15","-99","25","-99",NA,NA,"1","0","0","0","0","0","0",NA,"19","Female","-99","1","1","4","2","1","2","0","0","2","2","1","0","0","1","0","0","0","0","0","1","0","0","0","0","inezkenny404@gmail.com","1",NA,60.9,1981,40,"Elm Creek","Not Hispanic","White","NH-White","In a union","College","40-49","Several days","More than half","Several days","Nearly every day","Same","Better","Yes",31,2,0,0,"first_entry"
"2021-02-22 13:30:24","2021-02-22 14:31:54","0","143.244.50.85","100","3689","1","2021-02-22 14:31:54","R_cC7QrWcIfVl5nu9",NA,NA,NA,NA,"34.0543975830078125","-118.2440032958984375","anonymous","EN","1",NA,"2","8","1.3","1.8","0.9","4","4","4","4",NA,NA,NA,NA,"3","5","4","5","6","0.4","0.9","3","3","3",NA,NA,NA,"3","2","4","3","1.4","1.1","0.3","0.5","3","3","3","3",NA,NA,NA,NA,"3","2","5","3","4","2","3","0.3","0.4","0.4","0.2","3","3","3","3",NA,NA,NA,NA,"3","2","5","3","30","34","300","30","1","100","200","Good","3","2","4","3","0","0","2","2","0","2","1","0",NA,NA,"-99",NA,"-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99",NA,"1","1","3","1","1","1","27","9","24","11","25","-99","34","-99",NA,NA,"1","0","0","0","0","0","0",NA,"15","Female","-99","1","5","3","2","1","2","0","0","2","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","tharpfrancesca8@gmail.com","1",NA,61.5,1985,36,"Jefferson Heights","Not Hispanic","NHPI","NH-NHPI","In a union","High School","30-39","More than half","Several days","Nearly every day","More than half","Same","Same","Yes",27,2,0,0,"first_entry"
"2021-02-22 13:30:29","2021-02-22 14:31:57","0","99.76.227.2","100","3688","1","2021-02-22 14:31:57","R_3KOwIxZNgjTsLB7",NA,NA,NA,NA,"32.80029296875","-117.243804931640625","anonymous","EN","1",NA,"2","8","1.4","0.9","1.7","4","4","4","4",NA,NA,NA,NA,"2","4","3","5","6","0.7","1","3","3","3",NA,NA,NA,"5","2","3","3","1","0.7","0.8","1.1","3","3","3","3",NA,NA,NA,NA,"4","3","4","3","2","4","5","0.1","0.2","0.4","0.1","3","3","3","3",NA,NA,NA,NA,"3","2","5","3","60","30","120","25","1","150","300","Fair","4","3","2","4","0","0","3","3","0","2","1","0",NA,NA,"-99",NA,"-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99",NA,"1","1","4","1","2","2","29","11","23","13","31","-99","30","-99",NA,NA,"0","1","0","0","0","0","0",NA,"18","Female","-99","1","3","4","2","1","2","0","0","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","franceneknox42@gmail.com","1",NA,61.5,1982,39,"Jefferson Heights","Not Hispanic","Asian","NH-Asian","In a union","College","30-39","Nearly every day","More than half","Several days","Nearly every day","Better","Better","No",29,2,0,0,"first_entry"
"2021-02-22 13:30:36","2021-02-22 14:31:59","0","154.16.166.25","100","3682","1","2021-02-22 14:31:59","R_3nwufbYljLbVbCb",NA,NA,NA,NA,"34.0543975830078125","-118.2440032958984375","anonymous","EN","1",NA,"2","9","1.1","0.9","1.2","4","4","4","4",NA,NA,NA,NA,"4","3","2","5","6","0.6","0.9","3","3","3",NA,NA,NA,"4","2","6","3","1","1","1.4","0.6","3","3","3","3",NA,NA,NA,NA,"3","2","4","4","3","5","4","0.2","0.6","0.2","0.2","3","3","3","3",NA,NA,NA,NA,"4","2","3","5","20","20","200","50","1","180","350","Good","4","2","1","2","0","0","2","2","0","1","1","0","-99",NA,"-99",NA,"-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99",NA,"1","1","3","2","1","1","28","12","22","8","26","-99","34","-99",NA,NA,"0","0","0","0","1","0","0",NA,"21","Male","-99","1","2","3","2","1","2","0","0","2","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","quintinreagan@gmail.com","1",NA,61.4,1979,42,"Jefferson Heights","Not Hispanic","Black","NH-Black","In a union","High School","40-49","Nearly every day","Several days","Not at all","Several days","Same","Same","Yes",28,2,0,0,"first_entry"
"2021-02-22 13:30:38","2021-02-22 14:31:59","0","68.5.250.84","100","3681","1","2021-02-22 14:32:00","R_3j37efvsZaxRrtH",NA,NA,NA,NA,"33.7389068603515625","-117.7480010986328125","anonymous","EN","1",NA,"1","9","1","0.5","0.7","4","4","4","4",NA,NA,NA,NA,"4","2","3","5","6","0.7","0.6","3","3","3",NA,NA,NA,"5","2","3","3","0.8","0.3","0.7","0.7","3","3","3","3",NA,NA,NA,NA,"5","3","2","4","2","3","5","0.5","0.2","0.3","0.2","3","3","3","3",NA,NA,NA,NA,"2","4","3","4","25","24","350","40","1","200","320","Excellent","3","-99","2","4","0","0","3","3","0","-99","2","0",NA,NA,NA,NA,"-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99",NA,"1","1","4","1","1","1","29","15","28","9","29","-99","34","-99",NA,NA,"1","0","0","0","0","0","0",NA,"21","Male","-99","1","2","4","2","1","2","0","0","2","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","adelinaemory@gmail.com","1",NA,61.4,1979,42,"Elm Creek","Not Hispanic","Black","NH-Black","In a union","College","40-49","More than half",NA,"Several days","Nearly every day","Better","Better","Yes",29,2,0,0,"first_entry"
"2021-02-22 13:30:45","2021-02-22 14:32:00","0","91.219.212.204","100","3675","1","2021-02-22 14:32:01","R_2upMfxQNnB5VGrf",NA,NA,NA,NA,"34.048492431640625","-118.252899169921875","anonymous","EN","1",NA,"2","10","1","0.8","1.1","4","4","4","4",NA,NA,NA,NA,"4","2","4","3","6","0.2","0.9","3","3","3",NA,NA,NA,"4","1","3","3","0.4","0.6","0.3","1","3","3","3","3",NA,NA,NA,NA,"4","3","2","4","5","3","3","0.3","0.5","0.6","0.5","3","3","3","3",NA,NA,NA,NA,"4","2","3","5","24","15","240","30","1","300","310","Fair","4","2","1","4","0","0","2","2","0","1","1","0","-99",NA,"-99",NA,"-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99",NA,"1","1","4","1","1","2","25","14","31","10","27","-99","40","-99",NA,NA,"0","1","0","0","0","0","0",NA,"19","Male","-99","1","3","4","2","1","2","0","0","2","1","1","0","1","1","0","0","0","0","1","0","0","0","0","0","hansdeb954@gmail.com","1",NA,61.2,1981,40,"Jefferson Heights","Not Hispanic","Asian","NH-Asian","In a union","College","40-49","Nearly every day","Several days","Not at all","Nearly every day","Same","Same","Yes",25,2,0,0,"first_entry"
"2021-02-22 13:30:47","2021-02-22 14:32:02","0","143.244.50.35","100","3675","1","2021-02-22 14:32:03","R_1mPgbz0gqprNTjo",NA,NA,NA,NA,"34.0543975830078125","-118.2440032958984375","anonymous","EN","1",NA,"1","9","1.5","1.3","1.3","4","4","4","4",NA,NA,NA,NA,"2","5","3","4","6","1.4","1.2","3","3","3",NA,NA,NA,"3","5","4","3","0.3","0.6","1","0.3","3","3","3","3",NA,NA,NA,NA,"4","3","2","5","3","4","1","0.5","0.4","0.6","0.3","3","3","3","3",NA,NA,NA,NA,"4","3","2","5","35","35","210","25","1","310","220","Good","4","2","3","-99","0","0","3","3","0","2","2","0",NA,NA,NA,NA,"-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99",NA,"1","1","4","2","2","1","30","12","28","10","19","1","24","-99",NA,NA,"0","1","0","0","0","0","0",NA,"23","Male","-99","1","1","4","2","1","2","0","0","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","langfrancine605@gmail.com","1",NA,61.2,1977,44,"Elm Creek","Not Hispanic","White","NH-White","In a union","College","40-49","Nearly every day","Several days","More than half",NA,"Better","Better","No",30,2,0,0,"first_entry"
